gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,1.4508197855632678,1,1,1.2791950802089493,2.115324605732378,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
1,0,0,0,-0.21871512695797646,1,1,-1.5076384890696393,-0.8027253954187387,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,1,1,-1.2774445836787656,0,0,-1.1486903370337564,-0.9924561095687108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.7931530607209817,1,1,0.6800949176685803,0.9011452298894269,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,-1.1408467743054664,0,0,-1.236171919299437,-0.9564299424977892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,-0.62591876415828,1,0,0.32532360211359457,-0.46938964125989346,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,1,0,-0.62591876415828,1,1,0.5230774451333633,-0.41596238981573197,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,-1.1960038562387048,1,0,0.8737166121684152,-0.8782338519395333,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.6022903188575839,1,1,0.7954886665806642,-0.298210409766925,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,1,1,-1.2774445836787656,1,1,0.21601233503555084,-0.9743406746556695,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,-0.5037576729981889,1,1,0.5396954151350245,-0.26296015364037956,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0.7178532386027215,0,0,-0.8329489070021932,-0.15308354775955052,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1,1,0,0,-1.0331289262489023,1,0,0.929346470162058,-0.7110922939143732,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,-1.2774445836787656,0,0,-1.3148700370503688,-0.9946620241617811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-0.4223169455581282,1,1,-0.18983346793790365,-0.45275704522814375,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,-0.13727439951791576,1,1,0.9885274876888679,0.1670430259178149,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.5444780367182193,1,1,1.3905354792200795,-0.15233353679790662,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,-1.2774445836787656,1,1,-0.49482938932894016,-0.9837765812855532,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.31112432803054507,1,1,1.0148724185188764,0.03455577695751731,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-0.7888002190384014,0,1,-1.1004982240289392,-0.8337405545973063,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.2071020939965584,1,1,-0.6510537903647425,-0.9491000828318084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.238972901088928,1,1,0.6912319834718301,-0.9294766586967739,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,-0.8295205827584317,1,1,-0.44907379996381874,-0.7357317692271953,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1.3286586944031769,1,1,1.3789029002189168,2.073588701631489,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,-0.5037576729981889,1,1,-0.4307940329619915,-0.5540747024878603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-0.8928906939508946,1,1,1.1893267690308145,-0.5326498394942429,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.2774445836787656,1,0,-1.4606867827153378,-0.9965976353534259,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,1.4915401492832983,1,0,-0.11172900893009581,0.7853566384243945,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1,1,0,0,-1.2774445836787656,1,1,0.9717626351782166,-0.9643086393611343,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,0.3920903288424788,1,1,1.3440051632154282,0.9357558953799241,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0.025607055362205634,1,1,1.0315873271841969,0.3339823943903603,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,1,0,-1.0331224013585834,1,1,0.5755793902281822,-0.7504946841636773,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,-1.2774445836787656,1,1,0.37152319153105734,-0.9722763811969017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0.8865652063564836,1,1,1.317001913104431,1.5043747851951628,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0,1,1,-0.5851984004382496,1,1,-0.34438058895335305,-0.5835236623053481,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,-0.7073594915983407,1,0,-1.5067333805257677,-0.877870994617618,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,0,1,1,0.880734693482843,1,1,1.3440051632154282,1.481543283997365,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
0,1,1,1,1.369379058123207,1,1,1.3340343812144315,2.0346101907719376,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,-0.4223169455581282,1,1,-0.3194536339508612,-0.4794265526583631,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,-1.2774445836787656,1,0,-0.6767399889865777,-0.9861913121243912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.2594354906780068,1,0,-0.641842251983089,-0.46173511762193964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,-0.1779947632379461,1,0,-0.12834697893175703,-0.2179815550876772,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0.7178532386027215,1,1,0.9850570111795457,1.1625900929853374,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,-0.62591876415828,1,0,0.925232319173565,-0.30884317717624077,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0.22920887396235737,1,0,0.14086413509515497,0.1719359083834198,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
0,0,1,0,0.6364125111626608,0,1,-0.6468276429835875,-0.05944247328371849,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,-0.2878380872290434,1,1,0.6011241337969785,-0.09917195258919868,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.0331224013585834,1,1,0.45660556512671835,-0.753842328036302,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,1.247217966963116,1,0,-1.5126238800701375,-0.45974979448817643,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,1,-0.6666391278783103,1,1,1.6015836982411773,-0.17523093027397585,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1.0843365120829946,1,1,-0.11339080593026184,0.6025524960966631,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1,0,1,0,0.6504981211575914,1,1,1.1672484962403462,1.1436598769752977,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.9109613101984924,1,1,0.5147684601325326,-0.632539084563369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1.0843365120829946,1,1,0.2438955491054544,0.8449163324372914,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1,0,1,1,0.47353105628253944,1,0,-1.4876969250676457,-0.6259875182219504,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,0,-0.6666391278783103,1,1,0.9933659961803764,-0.36114541217793633,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,1.4100994218432374,1,1,0.785641371159611,1.5523310832889892,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,0,1.0436161483629645,1,1,-0.12336158793125872,0.5289852444177703,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,1,0.9214550572028734,1,0,-1.5076384890696393,-0.5279787328518393,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,1,-1.1960038562387048,1,0,0.8338334841644282,-0.8961899967271251,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0.8400143297628127,1,0,1.0963974101906757,1.2191938614435203,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0,0,1,1,1.3700707539176122,1,1,1.3408782507858612,2.1279076957710137,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.2367242199587352,1,0,0.5247392421335293,-0.9245580583940085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,-1.0399642126492055,1,1,1.1575017875367886,-0.700341812775045,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.9700483385012066,0,1,-0.8849697158574781,-0.8756812093028921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,1,0,-0.8295205827584317,1,1,1.2160467942026365,-0.46817638823370483,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,1.369379058123207,1,1,1.3057838322116073,2.033970475539947,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
0,0,0,0,-1.2367242199587352,1,1,-1.4694171580658184,-0.990956087645423,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1.5729808767233588,1,0,0.8421424691652587,1.7784814473705508,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1,1,0,1.4962886708851038,1,1,1.272160318118458,2.0922946140480696,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,-1.1476553544741688,1,1,0.397973118765991,-0.8633466173083498,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,-1.2367242199587352,1,1,0.2920876621102721,-0.9416318373443722,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-0.5851984004382496,1,1,0.5280628361338618,-0.3652263541751163,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.2774445836787656,1,0,-1.4710789550659844,-0.996735583879267,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,1,1,-1.2774445836787656,1,1,0.14917312009598557,-0.9752279165968321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0.758573602322752,1,1,-0.14164135493308597,0.3818066227681233,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,1,0,-0.9056934747994515,1,1,0.20406401827314408,-0.6751046175379861,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.1190695300232865,1,0,0.8504505053184543,-0.8173213994677246,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.8392956364587252,1,1,1.0073248699541864,-0.5072034320293642,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,-0.3408762181180675,0,0,-0.9642308700153169,-0.6392450649263026,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,-0.5037576729981889,1,1,-1.5093002860698053,-0.8144167427620109,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,1,0,0,-0.9924020376385531,1,1,1.1911198392001445,-0.6442745501985027,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.7992939660427822,1,0,1.2127232002023045,1.332974936154084,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
1,0,1,0,0.8400143297628127,1,1,0.9800716201790471,1.141876554956408,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
0,0,1,1,0.9621754209229036,1,1,-1.4943441130683104,-0.5116990831549808,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,1,0,-0.0965540357978854,1,0,0.18240906009930805,-0.035662713970421166,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
1,0,1,0,1.5729808767233588,1,1,1.4570073592267243,2.3873138750579392,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,-0.9924020376385531,0,1,-1.1802644800369129,-0.9056533703313965,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.7073594915983407,1,0,-1.4943441130683104,-0.8713955167010156,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,-1.06832744314298,1,1,0.9898636034248081,-0.745584193353317,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1.442878948951135,1,1,1.0179505068815855,1.852809310990023,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0.14776814652229667,1,1,0.9983513871808745,0.5673240400453312,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,-0.8387410135933765,1,0,0.0958444237204154,-0.636922312054108,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,1,0,0.06632741908223598,1,1,0.6792863631489789,0.26237840669929996,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,-1.2713403711150133,0,0,-1.3130836836710338,-0.9929038999539721,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,-1.0331224013585834,1,0,-0.6651074099854147,-0.8585791529152773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.1552834925186746,1,1,0.31867641411292996,-0.888711946256617,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,-0.5851984004382496,1,0,-1.4860351280674797,-0.8531746621622552,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,-1.2405047799735147,1,1,0.7062190173969671,-0.9319135580500532,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,0.7992939660427822,1,1,-1.4744025490663168,-0.5246036835244418,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,1,0.9621754209229036,1,1,1.1628692901973208,1.468550447044181,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
0,0,0,0,-1.2367242199587352,1,0,-1.4727407520661506,-0.990426668143086,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,1.369379058123207,1,1,-1.3165318340505352,-0.263004271932241,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,1,1,-0.5444780367182193,1,1,-1.3248408190513656,-0.799438582675064,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,0,1.6137012404433893,1,0,0.7274784761537967,1.6828991680528171,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,0,1.6137012404433893,1,1,1.478610720228884,2.572125399665365,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,1,0,0,0.35136996512244845,1,1,1.3174164112127704,0.8180482926936955,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,-0.975253242358352,1,1,0.7150569375049963,-0.7000606879139224,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2774445836787656,0,1,-0.976338389676432,-0.9901682628835765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,-0.748079855318371,1,1,0.8687312211679171,-0.4503305391757665,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-1.2438986298881638,0,0,-1.3327580867802324,-0.9872306356464536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-0.8295205827584317,1,1,-0.16490651293541178,-0.6846869055435497,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,1.5729808767233588,0,0,-0.21642221994056152,0.8233204285711333,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,1,-0.6173757221257906,1,0,0.7803278471459597,-0.35366997853699517,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,-0.41836543273309473,1,1,0.48453359185523714,-0.23902627721700498,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,0.6771328748826912,1,1,0.8670694241677506,0.9865360493124014,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,-0.30453898061818,1,0,1.2797548225396744,0.14273593322542152,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,-1.2354028003087123,1,1,1.3074938244331957,-0.8979440621897913,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
